Long name,Figure name,Quantity (Mt/yr),Local production share of available quantity (%),Carbon mass share,propylene - ecoinvent-3.11-cutoff,ethylene - ecoinvent-3.11-cutoff,methanol - ecoinvent-3.11-cutoff,"xylene, mixed - ecoinvent-3.11-cutoff",o-xylene - ecoinvent-3.11-cutoff,p-xylene - ecoinvent-3.11-cutoff,"toluene, liquid - ecoinvent-3.11-cutoff",benzene - ecoinvent-3.11-cutoff,"Unit GHG footprint without end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff","Unit GHG footprint of local production share (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff",propylene - ecoinvent-3.12-cutoff,ethylene - ecoinvent-3.12-cutoff,methanol - ecoinvent-3.12-cutoff,"xylene, mixed - ecoinvent-3.12-cutoff",o-xylene - ecoinvent-3.12-cutoff,p-xylene - ecoinvent-3.12-cutoff,"toluene, liquid - ecoinvent-3.12-cutoff",benzene - ecoinvent-3.12-cutoff,"Unit GHG footprint without end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff","Unit GHG footprint of local production share (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff",Unit impact of end-of-life (kg CO2/kg) - ecoinvent-3.11-cutoff,Unit impact of end-of-life (kg CO2/kg) - ecoinvent-3.12-cutoff,"Unit GHG footprint with end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff","Total GHG footprint without end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff","Total GHG footprint with end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff","Unit GHG footprint with end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff","Total GHG footprint without end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff","Total GHG footprint with end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff","Unit GHG footprint of BTX (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff","Unit GHG footprint of BTX (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff"
Methyloxirane (propylene oxide),Propylene oxide,1.650938177,0.981686695,0.620402893,1.3987992789953565,0.0,0.008508454905967,0.0,0.0,0.0,0.0,0.0,3.995652602559848,3.886297433257045,1.047360621417805,0.0957331966624949,0.0,0.0,0.0,0.0,0.0,0.4424259658885245,3.888683062324504,3.83502039976742,0.5734445354465167,0.5734101949784354,4.569097138006365,6.5965754235954615,7.543296899556145,4.462093257302939,6.419975325844794,7.366640107815707,0.0,0.4424259658885245
"1,2-Dichloroethane (ethylene dichloride)",Ethylene dichloride,1.202939382,0.756480346,0.242744543,0.0,0.5580699439847259,0.0,0.0,0.0,0.0,0.0,0.0,1.4122204082076308,1.0252944761210612,0.0,0.5631696825173407,0.0,0.0,0.0,0.0,0.0,0.0,1.470461002952138,1.0738714847165458,0.22437118405379844,0.22435774768635905,1.6365915922614294,1.6988155450970752,1.96872047858136,1.694818750638497,1.7688754501463453,2.0387642204950858,0.0,0.0
p-Xylene,p-Xylene,1.191905947,0.465976359,0.905124341,0.0,0.0,0.0,0.0,0.0,2.327258921099156,0.0,0.0,2.3702606094396814,1.0511814863312154,0.0,0.0,0.0,0.0,0.0,2.316447848571368,0.0,0.0,2.359466342803156,1.0582345842310592,0.8366153883265011,0.8365652879902641,3.2068759977661827,2.8251277163310005,3.8222945730290716,3.19603163079342,2.812261965733422,3.809369107542785,2.327258921099156,2.316447848571368
Toluene,Toluene,1.120381615,0.97878773,0.91249186,0.0,0.0,0.0,0.0,0.0,0.0,1.5751177768100937,0.0,1.6040022599866708,1.5699777309672234,0.0,0.0,0.0,0.0,0.0,0.0,1.5979644063152854,0.0,1.6269594505199287,1.5924479473764483,0.8434252590702024,0.8433747509279188,2.4474275190568733,1.7970946425075163,2.742052796396383,2.4703342014478475,1.8228154567130306,2.767717022207875,1.5751177768100937,1.5979644063152854
Acetone,Acetone,1.090852807,0.92846916,0.620402893,0.539334101684794,0.0,0.0,0.0,0.0,0.0,0.0,0.9071427464272004,2.376465654043379,2.178158380711725,0.554948011517162,0.0,0.008350137577751,0.0,0.0,0.0,0.0,0.9251633215571772,2.421260440354468,2.2186031857520865,0.5734445354465167,0.5734101949784354,2.949910189489896,2.5923742294523113,3.217917810602955,2.994670635332904,2.641238747838728,3.2667448685933715,0.9071427464272004,0.9251633215571772
Methanal (formaldehyde),Formaldehyde,0.931200527,0.977233124,0.400019983,0.0,0.0,0.9429961044228782,0.0,0.0,0.0,0.0,0.0,1.1685226086442286,1.1337710599253783,0.0,0.0,0.742619699724309,0.0,0.0,0.0,0.0,0.0,0.97168134640613,0.941402241084127,0.36974243013524855,0.36972028827612263,1.5382650387794772,1.0881288689809205,1.4324332147771246,1.3414016346822526,0.9048301818494578,1.2491139091347752,0.0,0.0
Acetic acid,Acetic acid,0.888564975,0.168811515,0.400033306,0.0,0.0,0.7795821098664308,0.0,0.0,0.0,0.0,0.0,2.6002044602800143,0.4389444542496265,0.0,0.0,0.7172792088242714,0.0,0.0,0.0,0.0,0.0,2.586805019827585,0.4366824744066996,0.36975474471603453,0.3697326021194555,2.969959204996049,2.310450611243599,2.639001726738334,2.9565376219470405,2.2985443377729724,2.6270757781319314,0.0,0.0
Oxirane (ethylene oxide),Ethylene oxide,0.886759378,0.994980261,0.545334847,0.0,1.4494602026406136,0.0,0.0,0.0,0.0,0.0,0.0,2.484765045114195,2.4722921731113985,0.0,1.502295738704725,0.0,0.0,0.0,0.0,0.0,0.0,2.585285252594336,2.572307795385764,0.5040583974206457,0.5040282121102315,2.988823442534841,2.2033887058816055,2.6503672168540144,3.0893134647045675,2.292525942543126,2.7394776864084474,0.0,0.0
Vinyl chloride (chloroethylene),Vinyl chloride,0.882272543,0.906749288,0.384352,0.0,0.7670356589969669,0.0,0.0,0.0,0.0,0.0,0.0,1.739933572172816,1.5686877051646273,0.0,0.8023183451681251,0.0,0.0,0.0,0.0,0.0,0.0,1.807199295588412,1.6252917963722506,0.3552603583490054,0.3552390837422347,2.0951939305218215,1.5350956173719845,1.8485320771596527,2.1624383793306468,1.594442318226597,1.9078600080128485,0.0,0.0
Aniline and its salts (excluding derivatives),Aniline,0.881884158,0.54958148,0.77382154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7982058689745963,4.041807001504555,2.0547061408094005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8139449147683748,4.034159169990329,2.0675814469175813,0.7152509095791857,0.7152080771001712,4.7570579110837405,3.5644055643203494,4.195174010473323,4.7493672470905,3.5576610628649004,4.188391735733184,1.7982058689745963,1.8139449147683748
"Propylene glycol (propane-1,2-diol)",Propylene glycol,0.848026699,0.943366525,0.473557629,1.134531881564736,0.0,0.0153244479460153,0.0,0.0,0.0,0.0,0.0,3.680773134173952,3.3946330181231947,0.8597284334007407,0.0433255952904203,0.0153548972839565,0.0,0.0,0.0,0.0,0.3388878718037433,3.626399556729945,3.361533232449631,0.43771400429149665,0.4376877919852247,4.118487138465449,3.1213938907414205,3.492587052906811,4.064087348715169,3.0752836453487586,3.4464545787785874,0.0,0.3388878718037433
"Acrylonitrile-butadiene-styrene (ABS) copolymers, in primary forms",ABS,0.846217183,0.715351861,0.85265026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.652506044090016,3.328178856953541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.656313376600034,3.330902439350028,0.7881130758106438,0.7880658800135765,5.44061911990066,3.9370305585203274,4.6039453854182755,5.44437925661361,3.940252388711699,4.607127277715203,0.0,0.0
m-Xylene and mixed xylene isomers,m-Xylene,0.821433537,0.973907156,0.905124341,0.0,0.0,0.0,1.4880413743609309,0.0,0.0,0.0,0.0,1.5177448452169764,1.4761644857132832,0.0,0.0,0.0,1.4998748802747066,0.0,0.0,0.0,0.0,1.5296835500090231,1.489071445816751,0.8366153883265011,0.8365652879902641,2.3543602335434777,1.2467265164700985,1.933950454011765,2.3662488379992874,1.2565333689746283,1.9437161524198947,1.4880413743609309,1.4998748802747066
