freq,reporter,product,product label,PRODQNT value,PRODQNT year,PRODQNT unit,EXPQNT value,EXPQNT year,EXPQNT unit,IMPQNT value,IMPQNT year,IMPQNT unit
A,EU27_2020,20142338,"Butane-1,4-diol or tetramethylene glycol (1,4-butanediol) having a bio-based carbon content of 100 % by mass",70000000,2019,KG,1144368,2019,KG,26388846,2019,KG
A,EU27_2020,20142339,"Diols and polyhydric alcohols (excluding ethylene glycol and propylene glycol, D-glucitol)",: ,2019,: ,: ,2019,: ,: ,2019,: 
A,EU27_2020,20142350,"Halogenated, sulphonated, nitrated or nitrosated derivatives of acyclic alcohols",8005943,2019,KG,2250339,2019,KG,3666324,2019,KG
A,EU27_2020,20142360,"Glycerol (including synthetic; excluding crude, waters and lyes)",601480482,2019,KG,180370918,2019,KG,52075139,2019,KG
A,EU27_2020,20142373,"Cyclanic, cyclenic or cycloterpenic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives",60002309,2019,KG,17838368,2019,KG,12265744,2019,KG
A,EU27_2020,20142375,"Aromatic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives",21000000,2019,KG,20557421,2019,KG,15579494,2019,KG
A,EU27_2020,20142410,Monophenols,1966372084,2019,KG,125976851,2019,KG,175036714,2019,KG
A,EU27_2020,20142433,"4,4-Isopropylidenediphenol (bisphenol A; diphenylolpropane) and its salts",300000000,2019,KG,7916916,2019,KG,48361171,2019,KG
A,EU27_2020,20142439,"Polyphenols (including salts; excluding 4,4 isopropylidenediphenol) and phenol-alcohols",16483610,2019,KG,16785120,2019,KG,15340618,2019,KG
A,EU27_2020,20142450,"Halogenated, sulphonated, nitrated or nitrosated derivatives of phenols or phenol-alcohols",6264338,2019,KG,2772291,2019,KG,5561221,2019,KG
A,EU27_2020,20143120,Industrial stearic acid,210000000,2019,KG,25938823,2019,KG,92022573,2019,KG
A,EU27_2020,20143130,Industrial oleic acid,116373570,2019,KG,12988922,2019,KG,61653431,2019,KG
A,EU27_2020,20143150,Industrial tall oil fatty acids,157634558,2019,KG,28849185,2019,KG,21297683,2019,KG
A,EU27_2020,20143195,"Industrial monocarboxylic fatty acids distilled (excluding stearic, oleic tall oil)",400000000,2019,KG,71756906,2019,KG,186289261,2019,KG
A,EU27_2020,20143197,"Industrial monocarboxylic fatty acids (excluding stearic, oleic, tall oil, distilled)",177875247,2019,KG,73763151,2019,KG,1384545410,2019,KG
A,EU27_2020,20143215,Ethyl acetate,36000000,2019,KG,26894837,2019,KG,347703984,2019,KG
A,EU27_2020,20143219,Esters of acetic acid (excluding ethyl acetate),637080618,2019,KG,157830975,2019,KG,807566206,2019,KG
A,EU27_2020,20143220,"Mono-, di- or tri-chloroacetic acids; propionic, butanoic and pentanoic acids; their salts and esters",383296407,2019,KG,225307964,2019,KG,89229495,2019,KG
A,EU27_2020,20143230,"Palmitic acid, its salts and esters",: ,2019,: ,: ,2019,: ,: ,2019,: 
A,EU27_2020,20143235,"Palmitic acid, stearic acid, their salts and esters",187867807,2019,KG,31021660,2019,KG,51509846,2019,KG
A,EU27_2020,20143240,"Stearic acid, its salts and esters",: ,2019,: ,: ,2019,: ,: ,2019,: 
A,EU27_2020,20143250,"Formic acid, its salts and esters",379667588,2019,KG,58102210,2019,KG,119526418,2019,KG
A,EU27_2020,20143271,Acetic acid,175203694,2019,KG,56799171,2019,KG,1082471420,2019,KG
A,EU27_2020,20143277,Acetic anhydride,900000,2019,KG,8406238,2019,KG,229458293,2019,KG
A,EU27_2020,20143278,Salts of acetic acid,60075174,2019,KG,22538817,2019,KG,16382236,2019,KG
