freq,product,product label,PRODQNT - EU27_2020 - 2019 - amount,PRODQNT - EU27_2020 - 2019 - unit,EXPQNT - EU27_2020 - 2019 - amount,EXPQNT - EU27_2020 - 2019 - unit,IMPQNT - EU27_2020 - 2019 - amount,IMPQNT - EU27_2020 - 2019 - unit,PRODQNT - EU27_2020 - 2022 - amount,PRODQNT - EU27_2020 - 2022 - unit,EXPQNT - EU27_2020 - 2022 - amount,EXPQNT - EU27_2020 - 2022 - unit,IMPQNT - EU27_2020 - 2022 - amount,IMPQNT - EU27_2020 - 2022 - unit,PRODQNT - FR - 2019 - amount,PRODQNT - FR - 2019 - unit,EXPQNT - FR - 2019 - amount,EXPQNT - FR - 2019 - unit,IMPQNT - FR - 2019 - amount,IMPQNT - FR - 2019 - unit,PRODQNT - FR - 2022 - amount,PRODQNT - FR - 2022 - unit,EXPQNT - FR - 2022 - amount,EXPQNT - FR - 2022 - unit,IMPQNT - FR - 2022 - amount,IMPQNT - FR - 2022 - unit
A,20143195,"Industrial monocarboxylic fatty acids distilled (excluding stearic, oleic tall oil)",400000000,KG,71756906,KG,186289261,KG,400000000,KG,74405769,KG,174742471,KG,:,KG,1846400,KG,46365900,KG,0,KG,1494584,KG,51771270,KG
A,20143197,"Industrial monocarboxylic fatty acids (excluding stearic, oleic, tall oil, distilled)",177875247,KG,73763151,KG,1384545410,KG,126000000,KG,90293527,KG,1881285576,KG,:,KG,28630700,KG,14680500,KG,:,KG,20753074,KG,14394834,KG
A,20143215,Ethyl acetate,36000000,KG,26894837,KG,347703984,KG,45000000,KG,17424587,KG,332601386,KG,12748602,KG,972500,KG,38435200,KG,18882599,KG,975831,KG,39191902,KG
A,20143219,Esters of acetic acid (excluding ethyl acetate),637080618,KG,157830975,KG,807566206,KG,535116016,KG,127855892,KG,766142528,KG,17163152,KG,0,KG,67689600,KG,:,KG,30602556,KG,75696535,KG
A,20143220,"Mono-, di- or tri-chloroacetic acids; propionic, butanoic and pentanoic acids; their salts and esters",383296407,KG,225307964,KG,89229495,KG,300000000,KG,180718269,KG,92596307,KG,2348204,KG,2775500,KG,22171700,KG,:,KG,1779220,KG,27581581,KG
A,20143230,"Palmitic acid, its salts and esters",:,: ,:,: ,:,: ,:,: ,:,: ,:,: ,:,: ,:,: ,:,: ,:,: ,:,: ,:,: 
A,20143235,"Palmitic acid, stearic acid, their salts and esters",187867807,KG,31021660,KG,51509846,KG,200000000,KG,30031292,KG,68350990,KG,5326607,KG,2537100,KG,17445900,KG,:,KG,2728763,KG,16089941,KG
A,20143240,"Stearic acid, its salts and esters",:,: ,:,: ,:,: ,:,: ,:,: ,:,: ,:,: ,:,: ,:,: ,:,: ,:,: ,:,: 
A,20143250,"Formic acid, its salts and esters",379667588,KG,58102210,KG,119526418,KG,300000000,KG,68378363,KG,96821167,KG,:,KG,563500,KG,26093500,KG,:,KG,2127251,KG,20171032,KG
A,20143271,Acetic acid,175203694,KG,56799171,KG,1082471420,KG,150000000,KG,30857086,KG,738564975,KG,:,KG,0,KG,31583700,KG,:,KG,14820479,KG,28225550,KG
A,20143277,Acetic anhydride,900000,KG,8406238,KG,229458293,KG,2400000,KG,15040348,KG,212873632,KG,0,KG,0,KG,19613400,KG,0,KG,2723086,KG,17071723,KG
A,20143278,Salts of acetic acid,60075174,KG,22538817,KG,16382236,KG,80000000,KG,18299769,KG,17867400,KG,:,KG,5013400,KG,5596700,KG,:,KG,5039707,KG,7547138,KG
A,20143280,Lauric acid and others; salts and esters,340000000,KG,186500168,KG,176024738,KG,360000000,KG,189300133,KG,267653013,KG,12930459,KG,0,KG,23974000,KG,:,KG,16778388,KG,25992278,KG
A,20143310,Acrylic acid and its salts and other monocarboxylic acid,423283936,KG,53713988,KG,80673367,KG,320000000,KG,64040832,KG,39416147,KG,N/A,N/A,1169900,KG,46117000,KG,N/A,N/A,54101298,KG,37468809,KG
A,20143320,Esters of acrylic acid,588789183,KG,188954201,KG,189665077,KG,400000000,KG,175045345,KG,204861873,KG,:,KG,0,KG,62096300,KG,:,KG,132448203,KG,64262399,KG
