,Priority code,PRODCOM code,Long name,Figure name,Quantity (Mt),Ecoinvent 3.11 activity name proxy,Molecular formula (MF),Molecular weight (MW),Carbon atoms,ecoinvent activity region,"GHG unit impact (IPCC 2021 GWP100, kg CO2e/kg)",propylene,ethylene,methanol,"xylene, mixed",o-xylene,p-xylene,"toluene, liquid",benzene,conseq_RER_GLO_RoW,"GHG unit impact of end-of-life (IPCC 2021 GWP100, kg CO2e/kg)","GHG total unit impact with end-of-life (IPCC 2021 GWP100, kg CO2e/kg)","Total GHG footprint without end-of-life (IPCC 2021 GWP100, kg CO2e/kg)","Total GHG footprint with end-of-life (IPCC 2021 GWP100, kg CO2e/kg)",x_axis,"BTX fraction GHG footprint (IPCC 2021 GWP100, kg CO2e/kg)"
18,19,20162070,"Acrylonitrile-butadiene-styrene (ABS) copolymers, in primary forms",ABS,0.817325644,market for acrylonitrile-butadiene-styrene copolymer,C15H17N,211.3,15,GLO,4.652506044090016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.652506044090016,0.8526502602934216,5.505156304383437,3.8026124986997645,4.499505421800852,85.710433545,0.0
19,20,20144151,Aniline and its salts (excluding derivatives),Aniline,0.959497198,market for aniline,C6H7N,93.13,6,RER,3.738674274121102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.784006727426568,3.738674274121102,0.773821539783099,4.5124958139042,3.587247490253881,4.32972708942781,86.527759189,1.784006727426568
20,21,20144450_2,Methylene diphenyl diisocyanate (MDI),Methylene diphenyl diisocyanate,0.790429172,market for methylene diphenyl diisocyanate,C15H10N2O2,250.25,15,RER,4.161533845639976,0.0,0.0,0.1291434456966222,0.0,0.0,0.0,0.0,1.2769708576576493,4.161533845639976,0.7199400599400599,4.8814739055800365,3.289397751859182,3.858459377327234,87.48725638699999,1.2769708576576493
21,22,20143320,Esters of acrylic acid,Esters of acrylic acid,0.648954423,market for butyl acrylate,C7H12O2,128.169,7,RER,4.926981499419347,1.4671189325806868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.926981499419347,0.6559854567016985,5.582966956121046,3.197386436087357,3.6230910996375996,88.27768555899999,0.0
22,23,20142310,Ethylene glycol (ethanediol),Ethylene glycol,1.489049224,market for ethylene glycol,C2H6O2,62.07,2,RER,1.9708935487221897,0.0,1.0325169487802426,0.0,0.0,0.0,0.0,0.0,0.0,1.9708935487221897,0.3870146608667633,2.357908209588953,2.9347575093113827,3.5110413897516595,88.926639982,0.0
23,24,20146211,Acetone,Acetone,1.037784064,"market for acetone, liquid",C3H6O,58.08,3,RER,2.3459673994036887,0.4544312213328282,0.0,0.0,0.0,0.0,0.0,0.0,0.9053747813032426,2.3459673994036887,0.6204028925619836,2.9663702919656725,2.4346075817646713,3.078451816925002,90.415689206,0.9053747813032426
24,25,20143271,Acetic acid,Acetic acid,0.889396781,market for acetic acid,C2H4O2,60.05,2,GLO,2.600204460280015,0.0,0.0,0.6026365179100128,0.0,0.0,0.0,0.0,0.0,2.600204460280015,0.40003330557868444,3.0002377658586994,2.312613476914888,2.668401811189359,91.45347326999999,0.0
25,26,20143340,Esters of methacrylic acid,Methyl methacrylate,0.394694541,market for methyl methacrylate,C5H8O2,100.12,5,RER,6.049238578683896,0.443421912667275,0.0,0.2810978570423373,0.0,0.0,0.0,0.0,0.4235490309059756,6.049238578683896,0.5998302037554933,6.6490687824393895,2.387601444213133,2.624351151162344,92.34287005099999,0.4235490309059756
26,27,20141213,Cyclohexane,Cyclohexane,0.614333996,market for cyclohexane,C6H12,84.16,6,GLO,3.346810954946917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.104273445064764,3.346810954946917,0.8562975285171104,4.203108483464027,2.056059747809116,2.582112430267956,92.737564592,2.104273445064764
27,28,20144123,Hexamethylenediamine and its salts; ethylenediamine and its salts,Hexamethylenediamine,0.418743118,market for hexamethylenediamine,C6H16N2,116.2,6,RER,5.539041669941496,0.4010849258728301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.539041669941496,0.6201893287435456,6.159230998685041,2.3194355796032293,2.579135592871628,93.351898588,0.0
28,29,20141225,Toluene,Toluene,1.006460688,"market for toluene, liquid",C7H8,92.14,7,RER,1.6040022599866692,0.0,0.0,0.0,0.0,0.0,0.0,1.5751177768100943,0.0,1.6040022599866692,0.9124918602127198,2.516494120199389,1.6143652181397379,2.5327524035638316,93.77064170599999,1.5751177768100943
29,30,20146373,Oxirane (ethylene oxide),Ethylene oxide,0.802127934,market for ethylene oxide,C2H4O,44.05,2,RER,2.4847650451141963,0.0,1.4494602026406147,0.0,0.0,0.0,0.0,0.0,0.0,2.4847650451141963,0.5453348467650397,3.030099891879236,1.993099452112867,2.430527766086715,94.777102394,0.0
30,31,20161070,"Ethylene-vinyl acetate copolymers, in primary forms",Ethylene-vinyl acetate,0.677151979,market for ethylene vinyl acetate copolymer,C6H10O2,114.14,6,RER,2.7535583061998485,0.0,1.6613106025404096,0.0,0.0,0.0,0.0,0.0,0.0,2.7535583061998485,0.6313825127036973,3.3849408189035457,1.8645774563351154,2.2921193743184167,95.579230328,0.0
31,32,20141270,Cumene,Cumene,0.615550552,market for cumene,C9H12,120.19,9,RER,2.2886916389477583,0.6571294727474573,0.0,0.0,0.0,0.0,0.0,0.0,1.3092156188821813,2.2886916389477583,0.8994009484982111,3.1880925874459694,1.4088054017120772,1.9624321520294745,96.256382307,1.3092156188821813
32,33,20142230,Butan-1-ol (n-butyl alcohol),n-Butanol,0.428048199,market for n-butanol,C4H10O,74.12,4,GLO,3.844128516632298,1.266791658703962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.844128516632298,0.6481921208850512,4.492320637517349,1.6454722882689967,1.922929758219833,96.871932859,0.0
33,34,20141245,p-Xylene,p-Xylene,0.579092855,market for p-xylene,C8H10,106.16,8,RER,2.255868706702388,0.0,0.0,0.0,0.0,0.0,2.2270498703483783,0.0,0.0,2.255868706702388,0.9051243406179351,3.160993047320323,1.3063574498694435,1.830508488407876,97.299981058,2.2270498703483783
34,35,20142320,"Propylene glycol (propane-1,2-diol)",Propylene glycol,0.44189643,"market for propylene glycol, liquid",C3H8O2,76.09,3,RER,3.59842429020173,1.1157051140122936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.59842429020173,0.4735576291234065,4.071981919325136,1.5901308474654283,1.7993942731743258,97.879073913,0.0
35,36,20144350,Acrylonitrile,Acrylonitrile,0.363643432,market for acrylonitrile,C3H3N,53.06,3,GLO,4.253078333665256,2.025610689810083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.253078333665256,0.6790991330569167,4.932177466722172,1.5466040018188747,1.7935539412319164,98.320970343,0.0
36,37,20142220,Propan-1-ol (propyl alcohol) and propan-2-ol (isopropyl alcohol),Isopropanol,0.633630002,market for isopropanol,C3H8O,60.1,3,RER,2.228746589252204,1.3420751295144198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.228746589252204,0.5995507487520799,2.828297338004284,1.4122007058053672,1.7920940479362493,98.684613775,0.0
37,38,20141371,Vinyl chloride (chloroethylene),Vinyl chloride,0.807789565,market for vinyl chloride,C2H3Cl,62.5,2,RER,1.730012613105717,0.0,0.7645591921996976,0.0,0.0,0.0,0.0,0.0,0.0,1.730012613105717,0.38435199999999997,2.114364613105717,1.3974861361851805,1.7079616710720604,99.318243777,0.0
38,39,20141353,"1,2-Dichloroethane (ethylene dichloride)",Ethylene dichloride,1.018745547,market for ethylene dichloride,C2H4Cl2,98.96,2,RER,1.355348465485528,0.0,0.5488627815538017,0.0,0.0,0.0,0.0,0.0,0.0,1.355348465485528,0.2427445432497979,1.5980930087353258,1.3807552138466648,1.6280501363409452,100.126033342,0.0
39,40,20146115,Butanal (butyraldehyde; normal isomer),Butanal,0.3600118,market for n-butanol,C4H8O,72.11,4,GLO,3.844128516632298,1.266791658703962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.844128516632298,0.6662598807377618,4.510388397370059,1.3839316267041235,1.6237930456363103,101.144778889,0.0
40,41,20141260,Ethylbenzene,Ethylbenzene,0.443532407,market for ethyl benzene,C8H10,106.16,8,RER,2.6724138348512128,0.0,0.0957455135501811,0.0,0.0,0.0,0.0,0.0,1.4157941400231104,2.6724138348512128,0.9051243406179351,3.5775381754691478,1.1853021406716588,1.5867541181002196,101.50479068899999,1.4157941400231104
41,42,20143215,Ethyl acetate,Ethyl acetate,0.341312049,market for ethyl acetate,C4H8O2,88.11,4,GLO,3.986381388426604,0.0,0.436658259413571,0.2143657894491481,0.0,0.0,0.0,0.0,0.0,3.986381388426604,0.5452729542617183,4.531654342688322,1.3605999997793492,1.5467082290626992,101.948323096,0.0
