freq,reporter,product,product label,PRODQNT value,PRODQNT year,PRODQNT unit,EXPQNT value,EXPQNT year,EXPQNT unit,IMPQNT value,IMPQNT year,IMPQNT unit
A,EU27_2020,20144370,"Nitrile-function compounds (excluding acrylonitrile, 1-cyanoguanidine (dicyandiamide))",276973129,2024,KG,103978377,2024,KG,55164401,2024,KG
A,EU27_2020,20144420,"Diazo-, azo- or azoxy-compounds",1617377,2024,KG,1599013,2024,KG,17829747,2024,KG
A,EU27_2020,20144430,Organic derivatives of hydrazine or of hydroxylamine,200000000,2024,KG,3811927,2024,KG,17761503,2024,KG
A,EU27_2020,20144450,Isocyanates,920000000,2024,KG,275669877,2024,KG,107557924,2024,KG
A,EU27_2020,20144490,Compounds with other nitrogen function (excluding isocyanates),9955207,2024,KG,7584185,2024,KG,9021283,2024,KG
A,EU27_2020,20145133,"Thiocarbamates and dithiocarbamates; thiuram mono-, di- or tetrasulphides; methionine",560733974,2024,KG,77674113,2024,KG,74555312,2024,KG
A,EU27_2020,20145139,Other organo-sulphur compounds,272000000,2024,KG,74484321,2024,KG,124725756,2024,KG
A,EU27_2020,20145150,Organo-inorganic compounds (excluding organo-sulphur compounds),190767174,2014,KG,131783300,2014,KG,242957600,2014,KG
A,EU27_2020,20145151,Organo-inorganic compounds (excluding organo-sulphur compounds),127825032,2024,KG,102541644,2024,KG,309412252,2024,KG
A,EU27_2020,20145210,Heterocyclic compounds with oxygen only hetero-atom(s) (including coumarin; methylcoumarins and ethylcoumarins) (excluding other lactones),57454184,2011,KG,39895400,2011,KG,46400800,2011,KG
A,EU27_2020,20145215,"Tetrahydrofuran, 2-Furaldehyde, Furfuryl alcohol, Tetrahydrofurfuryl alcohol and Piperonal",20847691,2024,KG,15760794,2024,KG,24025594,2024,KG
A,EU27_2020,20145225,Heterocyclic compounds with oxygen only hetero-atom(s) (excluding other lactones),72000000,2024,KG,33810229,2024,KG,46468583,2024,KG
A,EU27_2020,20145230,Heterocyclic compounds with nitrogen only hetero-atom(s); containing an unfused imidazole ring (excluding hydantoin and its derivatives),8000000,2024,KG,4128632,2024,KG,5976450,2024,KG
A,EU27_2020,20145260,Melamine,180000000,2024,KG,3680908,2024,KG,174790573,2024,KG
A,EU27_2020,20145280,"Compounds containing in the structure an unfused pyridine ring or a quinoline or isoquinoline ring-system, not further fused; lactames; other heterocyclic compounds with nitrogen hetero-atom(s) only (excluding compounds containing in the structure an unfused pyrazole ring, an unfused imidazole ring, a pyrimidine ring, a piperazine ring or an unfused triazine ring)",484453391,2024,KG,97508045,2024,KG,111929140,2024,KG
A,EU27_2020,20145290,"Nucleic acids and other heterocyclic compounds - thiazole, benzothiazole, other cycles",86404725,2024,KG,72543130,2024,KG,50617439,2024,KG
A,EU27_2020,20145350,Phosphoric esters; and their salts (including lactophosphates; their halogenated; sulphonated; nitrated or nitrosated derivatives),55431141,2024,KG,9827075,2024,KG,44877048,2024,KG
A,EU27_2020,20145380,"Esters of other inorganic acids of non-metals (excluding esters of hydrogen halides) and their salts; their halogenated, sulphonated, nitrated or nitrosated derivatives",120000000,2024,KG,79476179,2024,KG,98626458,2024,KG
A,EU27_2020,20146111,Methanal (formaldehyde),880000000,2024,KG,42634413,2024,KG,18541723,2024,KG
A,EU27_2020,20146113,Ethanal (acetaldehyde),20000000,2024,KG,5397644,2024,KG,5759625,2024,KG
A,EU27_2020,20146115,Butanal (butyraldehyde; normal isomer),360000000,2024,KG,391300,2011,KG,11800,2011,KG
A,EU27_2020,20146119,"Acyclic aldehydes, without other oxygen function (excluding methanal (formaldehyde), ethanal (acetaldehyde), butanal (butyraldehyde; normal isomer))",178911620,2024,KG,49951300,2011,KG,9857800,2011,KG
A,EU27_2020,20146120,Cyclic aldehydes; without other oxygen function,18000000,2024,KG,13020910,2024,KG,9468130,2024,KG
A,EU27_2020,20146130,Aldehyde-alcohols,30000000,2011,KG,3428300,2011,KG,184700,2011,KG
A,EU27_2020,20146135,"Aldehyde-alcohols, Aldehyde-ethers, aldehyde-phenols and aldehydes with other oxygen function",6120626,2024,KG,5594872,2024,KG,11591830,2024,KG
A,EU27_2020,20146140,"Aldehyde-ethers, aldehyde-phenols and aldehydes with other oxygen function",6070204,2011,KG,1606700,2011,KG,6155100,2011,KG
A,EU27_2020,20146150,Cyclic polymers of aldehydes,400000,2024,KG,370190,2024,KG,2022797,2024,KG
A,EU27_2020,20146160,Paraformaldehyde,104034435,2024,KG,10270062,2024,KG,806569,2024,KG
A,EU27_2020,20146170,"Halogenated, sulphonated, nitrated or nitrosated derivatives of cyclic polymers of aldehydes or paraformaldehyde",900000,2024,KG,672301,2024,KG,1711333,2024,KG
A,EU27_2020,201461Z0,"Acyclic aldehydes without other oxygen function (excluding methanal, ethanal)",800000000,2024,KG,46759423,2024,KG,42623847,2024,KG
A,EU27_2020,20146211,Acetone,953089905,2024,KG,137400097,2024,KG,84694159,2024,KG
A,EU27_2020,20146213,Butanone (methyl ethyl ketone),82720305,2024,KG,76019182,2024,KG,86888111,2024,KG
A,EU27_2020,20146215,4-Methylpentan-2-one (methyl isobutyl ketone),8000000,2024,KG,2047038,2024,KG,32785512,2024,KG
A,EU27_2020,20146219,"Acyclic ketones; without other oxygen function (excluding acetone, butanone (methyl ethyl ketone), 4-methylpentan-2-one (methyl isobutyl ketone))",29126424,2024,KG,6290424,2024,KG,11520889,2024,KG
A,EU27_2020,20146231,Camphor; aromatic ketones without other oxygen function; ketone-alcohols; ketone-aldehydes; ketone-phenols and ketones with other oxygen function,54000000,2024,KG,11775000,2011,KG,21199600,2011,KG
A,EU27_2020,20146233,Cyclohexanone and methylcyclohexanones,40000000,2024,KG,15472835,2024,KG,22608467,2024,KG
A,EU27_2020,20146235,Ionones and methylionones,6000000,2024,KG,4266675,2024,KG,1896054,2024,KG
A,EU27_2020,20146239,"Cyclanic, cyclenic or cycloterpenic ketones without other oxygen function (excluding camphor, cyclohexanone and methylcyclohexanones, ionones and methylionones)",20000000,2024,KG,39382800,2011,KG,9205900,2011,KG
A,EU27_2020,20146260,Quinones,2470029,2024,KG,1058028,2024,KG,1306888,2024,KG
A,EU27_2020,20146270,Halogenated; sulphonated; nitrated or nitrosated derivatives of ketones and quinones,3747898,2024,KG,5121588,2024,KG,3552164,2024,KG
A,EU27_2020,201462Z0,"Aromatic ketones without other oxygen function; ketone-alcohols and ketone-aldehydes; ketone-phenols and ketones with other oxygen function; other cyclanic, cyclenic or cycloterpenic ketones without other oxygen function",78163759,2024,KG,46224751,2024,KG,36776216,2024,KG
A,EU27_2020,20146310,"Acyclic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives",1800000000,2024,KG,503736982,2024,KG,848579596,2024,KG
A,EU27_2020,20146323,"Cyclanic, cyclenic or cycloterpenic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives",39788308,2024,KG,569987,2024,KG,613957,2024,KG
A,EU27_2020,20146325,"Aromatic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives",40000000,2024,KG,7845464,2024,KG,9403670,2024,KG
A,EU27_2020,20146333,"2,2-Oxydiethanol (diethylene glycol; digol)",120000000,2024,KG,7346355,2024,KG,208424854,2024,KG
A,EU27_2020,20146339,"Ether-alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives (excluding 2,2-Oxydiethanol)",440000000,2024,KG,214951347,2024,KG,97039544,2024,KG
A,EU27_2020,20146350,"Ether-phenols; ether-alcohol-phenols and their halogenated, sulphonated, nitrated or nitrosated derivatives",4446875,2024,KG,2717938,2024,KG,3212017,2024,KG
A,EU27_2020,20146360,"Alcohol, ether and ketone peroxides and their halogenated, sulphonated, nitrated or nitrosated derivatives",40000000,2021,KG,21889848,2021,KG,14047153,2021,KG
A,EU27_2020,20146361,"Alcohol peroxides, ether peroxides, acetal and hemiacetal peroxides, ketone peroxides and their halogenated, sulphonated, nitrated or nitrosated derivatives",21000000,2024,KG,12903754,2024,KG,11714276,2024,KG
A,EU27_2020,20146373,Oxirane (ethylene oxide),799625115,2024,KG,19410201,2024,KG,2502819,2024,KG
A,EU27_2020,20146375,Methyloxirane (propylene oxide),1437528238,2024,KG,12633578,2024,KG,74526547,2024,KG
A,EU27_2020,20146379,"Epoxides, epoxyalcohols, -phenols, epoxyethers, with a 3-membered ring and their halogenated, sulphonated, nitrated/nitrosated derivatives excluding oxirane, methyloxirane (propylene oxide)",159143633,2024,KG,42270510,2024,KG,47441902,2024,KG
A,EU27_2020,20146380,Acetals and hemiacetals and their halogenated; sulphonated; nitrated or nitrosated derivatives,12000000,2021,KG,3989413,2021,KG,1004879,2021,KG
A,EU27_2020,20146381,Acetals and hemiacetals and their halogenated; sulphonated; nitrated or nitrosated derivatives,12000000,2024,KG,4146079,2024,KG,1390710,2024,KG
A,EU27_2020,20146430,"Other organic compounds, n.e.c.",525270417,2024,KG,5890649,2024,KG,2602218,2024,KG
A,EU27_2020,20146450,Rennet and concentrates thereof,12323534,2024,KG,4020496,2024,KG,825474,2024,KG
A,EU27_2020,20146470,Enzymes; prepared enzymes (not elsewhere specified or included) (excluding rennet and concentrates),270998028,2024,KG,148821240,2024,KG,43469310,2024,KG
A,EU27_2020,20147120,Activated natural mineral products; animal black,700000000,2024,KG,292652074,2024,KG,84363989,2024,KG
A,EU27_2020,20147130,Tall oil; whether or not refined,400000000,2024,KG,7503711,2024,KG,166962450,2024,KG
A,EU27_2020,20147140,"Gum, wood or sulphate turpentine oils, pine oil and other alike",119514495,2024,KG,23332590,2024,KG,9009341,2024,KG
A,EU27_2020,20147150,Rosin and resin acids; and derivatives; rosin spirit and oils; run gums,300000000,2024,KG,64068837,2024,KG,87254049,2024,KG
A,EU27_2020,20147170,"Wood tar; wood tar oils; wood creosote; wood naphtha; vegetable pitch; brewers’ pitch and similar preparations based on rosin, resin acids or on vegetable pitch",123233199,2024,KG,10591366,2024,KG,71601101,2024,KG
A,EU27_2020,20147200,Wood charcoal whether or not agglomerated (including shell or nut charcoal),318581216,2024,KG,46517854,2024,KG,571206403,2024,KG
A,EU27_2020,20147320,"Benzol (benzene), toluol (toluene) and xylol (xylenes)",1832250912,2024,KG,167676125,2024,KG,321852593,2024,KG
A,EU27_2020,20147340,"Naphthalene and other aromatic hydrocarbon mixtures (excluding benzene, toluene, xylene)",4200000000,2024,KG,1042009420,2024,KG,1685389468,2024,KG
A,EU27_2020,20147360,Phenols,200000000,2024,KG,6422447,2024,KG,5979086,2024,KG
A,EU27_2020,20147390,"Other oils and oil products, n.e.c.",6281510027,2024,KG,21755270186,2024,KG,6686056032,2024,KG
A,EU27_2020,20147400,Undenatured ethyl alcohol of an alcoholic strength by volume >= 80 % (important: excluding alcohol duty),5000000000,2024,L,291915847,2024,L,1258625585,2024,L
A,EU27_2020,20147500,Denatured ethyl alcohol and other denatured spirits; of any strength,1500000000,2024,L,46813855,2024,L,707560794,2024,L
A,EU27_2020,20148000,"Residual lyes from the manufacture of wood pulp, excluding tall oil",350000000,2024,KG,113004719,2024,KG,129966752,2024,KG
A,EU27_2020,20161035,"Linear polyethylene having a specific gravity < 0,94, in primary forms",2000580713,2024,KG,173560950,2024,KG,582711227,2024,KG
A,EU27_2020,20161039,"Polyethylene having a specific gravity < 0,94, in primary forms (excluding linear)",3434283993,2024,KG,938356558,2024,KG,799356302,2024,KG
A,EU27_2020,20161050,"Polyethylene having a specific gravity of >= 0,94, in primary forms",5507260631,2024,KG,951456319,2024,KG,1702406546,2024,KG
A,EU27_2020,20161070,"Ethylene-vinyl acetate copolymers, in primary forms",600000000,2024,KG,179886953,2024,KG,77151979,2024,KG
A,EU27_2020,20161090,"Polymers of ethylene, in primary forms (excluding polyethylene, ethylene-vinyl acetate copolymers)",1054762109,2024,KG,935329057,2024,KG,1537639634,2024,KG
A,EU27_2020,20162035,"Expansible polystyrene, in primary forms",1299181693,2024,KG,70524860,2024,KG,169341824,2024,KG
A,EU27_2020,20162039,"Polystyrene, in primary forms (excluding expansible polystyrene)",1500000000,2024,KG,217808143,2024,KG,149416689,2024,KG
A,EU27_2020,20162050,"Styrene-acrylonitrile (SAN) copolymers, in primary forms",160000000,2024,KG,9378995,2024,KG,36797192,2024,KG
A,EU27_2020,20162070,"Acrylonitrile-butadiene-styrene (ABS) copolymers, in primary forms",580562412,2024,KG,235161606,2024,KG,236763232,2024,KG
A,EU27_2020,20162090,"Polymers of styrene, in primary forms (excluding polystyrene, styrene-acrylonitrile (SAN) copolymers, acrylonitrile-butadiene-styrene (ABS) copolymers)",657361341,2024,KG,244324425,2024,KG,74047298,2024,KG
A,EU27_2020,20163010,"Polyvinyl chloride, not mixed with any other substances, in primary forms",4431944772,2024,KG,1200688249,2024,KG,398464555,2024,KG
A,EU27_2020,20163023,"Non-plasticised polyvinyl chloride mixed with any other substance, in primary forms",297402266,2024,KG,67891395,2024,KG,44050163,2024,KG
A,EU27_2020,20163025,"Plasticised polyvinyl chloride mixed with any other substance, in primary forms",732400200,2024,KG,140237150,2024,KG,47556464,2024,KG
A,EU27_2020,20163040,"Vinyl chloride-vinyl acetate copolymers and other vinyl chloride copolymers, in primary forms",353037731,2024,KG,60644012,2024,KG,7593098,2024,KG
A,EU27_2020,20163060,Fluoropolymers,54000000,2024,KG,25598302,2024,KG,41528399,2024,KG
A,EU27_2020,20163090,"Polymers of halogenated olefins, in primary forms, n.e.c.",120000000,2024,KG,95676982,2024,KG,7521800,2024,KG
A,EU27_2020,20164013,"Polyacetals, in primary forms",260302812,2024,KG,127149510,2024,KG,95790937,2024,KG
A,EU27_2020,20164015,"Polyethylene glycols and other polyether alcohols, in primary forms",1236618667,2024,KG,496608245,2024,KG,277527064,2024,KG
A,EU27_2020,20164020,"Polyethers, in primary forms (excluding polyacetals, polyether alcohols)",400000000,2024,KG,57378042,2024,KG,56345048,2024,KG
A,EU27_2020,20164030,"Epoxide resins, in primary forms",597767646,2024,KG,145535564,2024,KG,166895581,2024,KG
A,EU27_2020,20164040,"Polycarbonates, in primary forms",878391616,2024,KG,131196704,2024,KG,157039200,2024,KG
A,EU27_2020,20164050,"Alkyd resins, in primary forms",320000000,2024,KG,54313013,2024,KG,10108795,2024,KG
A,EU27_2020,20164062,Polyethylene terephthalate in primary forms having a viscosity number of >= 78 ml/g,2078527679,2024,KG,281655452,2024,KG,1230771387,2024,KG
A,EU27_2020,20164064,Other polyethylene terephthalate in primary forms,428398627,2024,KG,115898653,2024,KG,352784599,2024,KG
A,EU27_2020,20164070,"Unsaturated liquid polyesters, in primary forms (excluding polyacetals, polyethers, epoxide resins, polycarbonates, alkyd resins, polyethylene terephthalate)",360000000,2024,KG,105833239,2024,KG,110126692,2024,KG
A,EU27_2020,20164080,"Unsaturated polyesters, in primary forms (excluding liquid polyesters, polyacetals, polyethers, epoxide resins, polycarbonates, alkyd resins, polyethylene terephthalate)",180000000,2024,KG,21928574,2024,KG,8808599,2024,KG
A,EU27_2020,20164090,"Polyesters, in primary forms (excluding polyacetals, polyethers, epoxide resins, polycarbonates, alkyd resins, polyethylene terephthalate, other unsaturated polyesters)",1093364852,2024,KG,346057837,2024,KG,371444833,2024,KG
A,EU27_2020,20165130,"Polypropylene, in primary forms",9018125838,2024,KG,804486358,2024,KG,1420773663,2024,KG
A,EU27_2020,20165150,"Polymers of propylene or of other olefins, in primary forms (excluding polypropylene)",2056138729,2024,KG,1087580681,2024,KG,679794621,2024,KG
A,EU27_2020,20165230,"Polymers of vinyl acetate, in aqueous dispersion, in primary forms",1060516856,2024,KG,124835877,2024,KG,13951101,2024,KG
A,EU27_2020,20165250,"Polymers of vinyl acetate, in primary forms (excluding in aqueous dispersion)",263309734,2024,KG,36721680,2024,KG,56863231,2024,KG
A,EU27_2020,20165270,"Polymers of vinyl esters or other vinyl polymers, in primary forms (excluding vinyl acetate)",153880828,2024,KG,62814404,2024,KG,192064376,2024,KG
A,EU27_2020,20165350,"Polymethyl methacrylate, in primary forms",150000000,2024,KG,15373849,2024,KG,60079972,2024,KG
A,EU27_2020,20165390,"Acrylic polymers, in primary forms (excluding polymethyl methacrylate)",3784589489,2024,KG,802904999,2024,KG,443280701,2024,KG
A,EU27_2020,20165450,"Polyamide -6, -11, -12, -6,6, -6,9, -6,10 or -6,12, in primary forms",2069358570,2024,KG,357769008,2024,KG,255501225,2024,KG
