,PRODCOM code,Long name,Figure name,Quantity (Mt),Ecoinvent 3.11 activity name proxy,Molecular formula (MF),Molecular weight (MW),Carbon atoms,ecoinvent activity region,"GHG unit impact (IPCC 2021 GWP100, kg CO2e/kg)",propylene,ethylene,methanol,"xylene, mixed",o-xylene,p-xylene,"toluene, liquid",benzene,conseq_RER_GLO_RoW
25,20162070,"Acrylonitrile-butadiene-styrene (ABS) copolymers, in primary forms",ABS,0.817325644,market for acrylonitrile-butadiene-styrene copolymer,C15H17N,211.3,15,GLO,4.652506044090016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.652506044090016
26,20141371,Vinyl chloride (chloroethylene),Vinyl chloride,0.807789565,market for vinyl chloride,C2H3Cl,62.5,2,RER,1.730012613105717,0.0,0.7645591921996976,0.0,0.0,0.0,0.0,0.0,0.0,1.730012613105717
27,20146373,Oxirane (ethylene oxide),Ethylene oxide,0.802127934,market for ethylene oxide,C2H4O,44.05,2,RER,2.4847650451141963,0.0,1.4494602026406147,0.0,0.0,0.0,0.0,0.0,0.0,2.4847650451141963
28,20164064,Other polyethylene terephthalate in primary forms,Polyethylene terephthalate,0.781183226,"market for polyethylene terephthalate, granulate, amorphous",C12H14O4,222.24,12,GLO,3.7524038529688286,0.0,0.3099659555868734,0.0,0.0,0.0,1.3143296765359418,0.0,0.0,3.7524038529688286
29,20163025,"Plasticised polyvinyl chloride mixed with any other substance, in primary forms",Polyvinyl chloride,0.779956664,"market for polyvinyl chloride, suspension polymerised",C2H3Cl,62.5,2,RER,2.094853396347803,0.0,0.7636770902033747,0.0,0.0,0.0,0.0,0.0,0.0,2.094853396347803
30,20161070,"Ethylene-vinyl acetate copolymers, in primary forms",Ethylene-vinyl acetate,0.677151979,market for ethylene vinyl acetate copolymer,C6H10O2,114.14,6,RER,2.7535583061998485,0.0,1.6613106025404096,0.0,0.0,0.0,0.0,0.0,0.0,2.7535583061998485
31,20143320,Esters of acrylic acid,Esters of acrylic acid,0.648954423,market for butyl acrylate,C7H12O2,128.169,7,RER,4.926981499419347,1.4671189325806868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.926981499419347
32,20142220,Propan-1-ol (propyl alcohol) and propan-2-ol (isopropyl alcohol),Isopropanol,0.633630002,market for isopropanol,C3H8O,60.1,3,RER,2.228746589252204,1.3420751295144198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.228746589252204
33,20141270,Cumene,Cumene,0.615550552,market for cumene,C9H12,120.19,9,RER,2.2886916389477583,0.6571294727474573,0.0,0.0,0.0,0.0,0.0,0.0,1.3092156188821813,2.2886916389477583
34,20141213,Cyclohexane,Cyclohexane,0.614333996,market for cyclohexane,C6H12,84.16,6,GLO,3.346810954946917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.104273445064764,3.346810954946917
35,20143385,Adipic acid; its salts and esters,Adipic acid,0.581289067,market for adipic acid,C6H10O4,146.14,6,GLO,9.370551373579207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3726182507902158,9.370551373579207
36,20141245,p-Xylene,p-Xylene,0.579092855,market for p-xylene,C8H10,106.16,8,RER,2.2558687067023877,0.0,0.0,0.0,0.0,0.0,2.2270498703483783,0.0,0.0,2.2558687067023877
37,20141260,Ethylbenzene,Ethylbenzene,0.443532407,market for ethyl benzene,C8H10,106.16,8,RER,2.6724138348512128,0.0,0.09574551355018114,0.0,0.0,0.0,0.0,0.0,1.4157941400231104,2.6724138348512128
38,20143250,"Formic acid, its salts and esters",Formic acid,0.442926298,market for formic acid,CH2O2,46.025,1,RER,2.321899093100488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.321899093100488
39,20142320,"Propylene glycol (propane-1,2-diol)",Propylene glycol,0.44189643,"market for propylene glycol, liquid",C3H8O2,76.09,3,RER,3.59842429020173,1.1157051140122936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.59842429020173
40,20142230,Butan-1-ol (n-butyl alcohol),n-Butanol,0.428048199,market for n-butanol,C4H10O,74.12,4,GLO,3.844128516632298,1.266791658703962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.844128516632298
41,20144123,Hexamethylenediamine and its salts; ethylenediamine and its salts,Hexamethylenediamine,0.418743118,market for hexamethylenediamine,C6H16N2,116.2,6,RER,5.539041669941496,0.4010849258728301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.539041669941496
42,20141247,m-Xylene and mixed xylene isomers,m-Xylene,0.403599974,"market for xylene, mixed",C8H10,106.16,8,RER,1.5157137686267124,0.0,0.0,0.0,1.4868292561995198,0.0,0.0,0.0,0.0,1.5157137686267124
43,20143340,Esters of methacrylic acid,Methyl methacrylate,0.394694541,market for methyl methacrylate,C5H8O2,100.12,5,RER,6.049238578683896,0.44342191266727504,0.0,0.2810978570423373,0.0,0.0,0.0,0.0,0.4235490309059756,6.049238578683896
44,20144350,Acrylonitrile,Acrylonitrile,0.363643432,market for acrylonitrile,C3H3N,53.06,3,GLO,4.253078333665256,2.025610689810083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.253078333665256
45,20146115,Butanal (butyraldehyde; normal isomer),Butanal,0.3600118,market for n-butanol,C4H8O,72.11,4,GLO,3.844128516632298,1.266791658703962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.844128516632298
