Long name,Figure name,Quantity (Mt/yr),Local production share of available quantity (%),Carbon mass share,propylene - ecoinvent-3.11-cutoff,ethylene - ecoinvent-3.11-cutoff,methanol - ecoinvent-3.11-cutoff,"xylene, mixed - ecoinvent-3.11-cutoff",o-xylene - ecoinvent-3.11-cutoff,p-xylene - ecoinvent-3.11-cutoff,"toluene, liquid - ecoinvent-3.11-cutoff",benzene - ecoinvent-3.11-cutoff,"Unit GHG footprint without end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff","Unit GHG footprint of local production share (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff",propylene - ecoinvent-3.12-cutoff,ethylene - ecoinvent-3.12-cutoff,methanol - ecoinvent-3.12-cutoff,"xylene, mixed - ecoinvent-3.12-cutoff",o-xylene - ecoinvent-3.12-cutoff,p-xylene - ecoinvent-3.12-cutoff,"toluene, liquid - ecoinvent-3.12-cutoff",benzene - ecoinvent-3.12-cutoff,"Unit GHG footprint without end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff","Unit GHG footprint of local production share (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff",Unit impact of end-of-life (kg CO2/kg),"Unit GHG footprint with end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff","Total GHG footprint without end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff","Total GHG footprint with end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff","Unit GHG footprint with end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff","Total GHG footprint without end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff","Total GHG footprint with end-of-life (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff","Unit GHG footprint of BTX (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.11-cutoff","Unit GHG footprint of BTX (IPCC 2021 GWP100, kg CO2e/kg) - ecoinvent-3.12-cutoff"
Methyloxirane (propylene oxide),Propylene oxide,1.650938177,0.981686695,0.620402893,1.3987992789953565,0.0,0.008508454905967,0.0,0.0,0.0,0.0,0.0,3.995652602559848,3.886297433257045,1.047360621417805,0.0957331966624949,0.0,0.0,0.0,0.0,0.0,0.4424259658885245,3.888683062324504,3.83502039976742,2.2731921503652486,6.268844752925096,6.5965754235954615,10.349475128290173,6.161875212689752,6.419975325844794,10.172875030539506,0.0,0.4424259658885245
"1,2-Dichloroethane (ethylene dichloride)",Ethylene dichloride,1.202939382,0.756480346,0.242744543,0.0,0.5580699439847259,0.0,0.0,0.0,0.0,0.0,0.0,1.4122204082076308,1.0252944761210612,0.0,0.5631696825173407,0.0,0.0,0.0,0.0,0.0,0.0,1.470461002952138,1.0738714847165458,0.8894300718413954,2.3016504800490263,1.6988155450970752,2.768746006050179,2.3598910747935333,1.7688754501463453,2.838805911099449,0.0,0.0
p-Xylene,p-Xylene,1.191905947,0.465976359,0.905124341,0.0,0.0,0.0,0.0,0.0,2.327258921099156,0.0,0.0,2.3702606094396814,1.0511814863312154,0.0,0.0,0.0,0.0,0.0,2.316447848571368,0.0,0.0,2.359466342803156,1.0582345842310592,3.316428034557406,5.686688643997087,2.8251277163310005,6.777998013517494,5.675894377360562,2.812261965733422,6.7651322629199155,2.327258921099156,2.316447848571368
Toluene,Toluene,1.120381615,0.97878773,0.91249186,0.0,0.0,0.0,0.0,0.0,0.0,1.5751177768100937,0.0,1.6040022599866708,1.5699777309672234,0.0,0.0,0.0,0.0,0.0,0.0,1.5979644063152854,0.0,1.6269594505199287,1.5924479473764483,3.3434230510981604,4.947425311084832,1.7970946425075163,5.543004360125102,4.970382501618089,1.8228154567130306,5.568725174330615,1.5751177768100937,1.5979644063152854
Acetone,Acetone,1.090852807,0.92846916,0.620402893,0.539334101684794,0.0,0.0,0.0,0.0,0.0,0.0,0.9071427464272004,2.376465654043379,2.178158380711725,0.554948011517162,0.0,0.008350137577751,0.0,0.0,0.0,0.0,0.9251633215571772,2.421260440354468,2.2186031857520865,2.2731921503652486,4.649657804408628,2.5923742294523113,5.0720922675286095,4.694452590719717,2.641238747838728,5.120956785915026,0.9071427464272004,0.9251633215571772
Methanal (formaldehyde),Formaldehyde,0.931200527,0.977233124,0.400019983,0.0,0.0,0.9429961044228782,0.0,0.0,0.0,0.0,0.0,1.1685226086442286,1.1337710599253783,0.0,0.0,0.742619699724309,0.0,0.0,0.0,0.0,0.0,0.97168134640613,0.941402241084127,1.4656963976227626,2.6342190062669912,1.0881288689809205,2.4529861268692383,2.4373777440288924,0.9048301818494578,2.2696874397377758,0.0,0.0
Acetic acid,Acetic acid,0.888564975,0.168811515,0.400033306,0.0,0.0,0.7795821098664308,0.0,0.0,0.0,0.0,0.0,2.6002044602800143,0.4389444542496265,0.0,0.0,0.7172792088242714,0.0,0.0,0.0,0.0,0.0,2.586805019827585,0.4366824744066996,1.4657452138667888,4.065949674146803,2.310450611243599,3.612860470559512,4.052550233694374,2.2985443377729724,3.600954197088886,0.0,0.0
Oxirane (ethylene oxide),Ethylene oxide,0.886759378,0.994980261,0.545334847,0.0,1.4494602026406136,0.0,0.0,0.0,0.0,0.0,0.0,2.484765045114195,2.4722921731113985,0.0,1.502295738704725,0.0,0.0,0.0,0.0,0.0,0.0,2.585285252594336,2.572307795385764,1.9981384798620432,4.482903524976238,2.2033887058816055,3.975256741441936,4.583423732456379,2.292525942543126,4.064393978103457,0.0,0.0
Vinyl chloride (chloroethylene),Vinyl chloride,0.882272543,0.906749288,0.384352,0.0,0.7670356589969669,0.0,0.0,0.0,0.0,0.0,0.0,1.739933572172816,1.5686877051646273,0.0,0.8023183451681251,0.0,0.0,0.0,0.0,0.0,0.0,1.807199295588412,1.6252917963722506,1.4082880000000002,3.148221572172816,1.5350956173719845,2.7775894524083684,3.215487295588412,1.594442318226597,2.836936153262981,0.0,0.0
Aniline and its salts (excluding derivatives),Aniline,0.881884158,0.54958148,0.77382154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7982058689745963,4.041807001504555,2.0547061408094005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8139449147683748,4.034159169990329,2.0675814469175813,2.8353269631054867,6.877133964610042,3.5644055643203494,6.064835495833329,6.8694861330958155,3.5576610628649004,6.058090994377879,1.7982058689745963,1.8139449147683748
