sector,climate change: total (excl. biogenic CO2)
Additives/Blending Components,152196086.67082366
Air transport services (62),3949302272.940721
Aluminium and aluminium products,5075436207.069375
Aluminium ores and concentrates,48147564.32187956
Animal products nec,131932207.15392707
Anthracite,181907441.50147775
"Ash for treatment, Re-processing of ash into clinker",0.0
Aviation Gasoline,900764.4551256433
BKB/Peat Briquettes,34754855.06792688
Basic iron and steel and of ferro-alloys and first products thereof,14203273447.33683
Beverages,687456221.7330523
Biodiesels,149272715.54941168
Biogas,4970.270685966153
Biogasoline,3507337.606517714
Bitumen,181472518.53110012
Blast Furnace Gas,48109.327310441906
"Bottles for treatment, Recycling of bottles by direct reuse",0.0
"Bricks, tiles and construction products, in baked clay",93124538.03784359
Cattle,432879245.8910593
"Cement, lime and plaster",4738929843.831906
Ceramic goods,1853040374.0142965
Cereal grains nec,491425518.2978802
Charcoal,0.0
"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",74817060.84622805
Chemicals nec,4812645425.685347
Coal Tar,470981.50623851054
Coke Oven Coke,1217896440.293647
Coke oven gas,49500.089900288665
Coking Coal,285401397.2514639
"Collected and purified water, distribution services of water (41)",0.0
Computer and related services (72),678450572.1837552
Construction work (45),3356971265.716528
Copper ores and concentrates,955.0729264474005
Copper products,1995486134.2583098
Crops nec,505301456.8212176
"Crude petroleum and services related to crude oil extraction, excluding surveying",25038831499.249413
Dairy products,2257810206.7729764
Distribution and trade services of electricity,0.0
Distribution services of gaseous fuels through mains,0.0
Education services (80),506845039.8910459
Electrical machinery and apparatus n.e.c. (31),6201226102.1611595
Electricity by Geothermal,83005.22089863915
Electricity by biomass and waste,34707566.28529123
Electricity by coal,593625694.5612743
Electricity by gas,1158184166.0625231
Electricity by hydro,58662015.71216949
Electricity by nuclear,76506204.20943841
Electricity by petroleum and other oil derivatives,106621884.58118013
Electricity by solar photovoltaic,9420436.546708379
Electricity by solar thermal,565874.7513140518
"Electricity by tide, wave, ocean",8023.466362338296
Electricity by wind,24436002.09193652
Electricity nec,215266.94223057816
Ethane,2265390.503197056
Extra-territorial organizations and bodies,0.0
"Fabricated metal products, except machinery and equipment (28)",9464299253.808514
"Financial intermediation services, except insurance and pension funding services (65)",1176186608.444157
Fish and other fishing products; services incidental of fishing (05),959382925.3853137
Fish products,647215957.552505
Food products nec,2435408573.3835025
Food waste for treatment: biogasification and land application,1406245.4051028194
Food waste for treatment: composting and land application,13605146.856527638
Food waste for treatment: incineration,7441094.268471163
Food waste for treatment: landfill,16576474.299344968
Food waste for treatment: waste water treatment,12536838.617209744
Foundry work services,0.0
Furniture; other manufactured goods n.e.c. (36),6117104965.451047
Gas Coke,0.0
Gas Works Gas,0.0
Gas/Diesel Oil,6349206594.481598
Gasoline Type Jet Fuel,0.0
Glass and glass products,2650072921.146856
Health and social work services (85),561028446.3057566
Heavy Fuel Oil,3104757969.338766
Hotel and restaurant services (55),10612551826.966524
Inert/metal/hazardous waste for treatment: landfill,11665038.949228477
Inland water transportation services,214865227.2871979
"Insurance and pension funding services, except compulsory social security services (66)",247783343.57468006
Intert/metal waste for treatment: incineration,15622293.749944886
Iron ores,66593.57581800221
Kerosene,0.0
Kerosene Type Jet Fuel,6626149389.491454
"Lead, zinc and tin and products thereof",759154681.5078024
"Lead, zinc and tin ores and concentrates",66141610.46108806
Leather and leather products (19),1302686303.3083282
Lignite/Brown Coal,66719723.12800144
Liquefied Petroleum Gases (LPG),1383753555.8115373
Lubricants,3649288.033718356
Machinery and equipment n.e.c. (29),4726843792.329051
Manure (biogas treatment),0.0
Manure (conventional treatment),0.0
Meat animals nec,344664323.94388986
Meat products nec,32943407.811147705
"Medical, precision and optical instruments, watches and clocks (33)",748023237.4603406
Membership organisation services n.e.c. (91),46123636.369929604
Motor Gasoline,1033833010.6592185
"Motor vehicles, trailers and semi-trailers (34)",4438498530.8410425
N-fertiliser,23656309.878384974
Naphtha,701793241.5098034
Natural Gas Liquids,2314845820.761383
"Natural gas and services related to natural gas extraction, excluding surveying",2339287144.123922
Nickel ores and concentrates,0.0
Non-specified Petroleum Products,78157670.59976438
Nuclear fuel,251316.22218751282
Office machinery and computers (30),2669256426.485021
Oil seeds,1247438016.7521126
Oil/hazardous waste for treatment: incineration,6808062.644490225
Other Bituminous Coal,4699808655.096954
Other Hydrocarbons,108247.61606187989
Other Liquid Biofuels,140270.02615482573
Other business services (74),4468669585.6983595
Other land transportation services,7283587042.7301035
Other non-ferrous metal ores and concentrates,382166.96198875335
Other non-ferrous metal products,1567021010.8807569
Other non-metallic mineral products,1150557065.7950885
Other services (93),55965550.54747921
Other transport equipment (35),5906684249.290518
Other waste for treatment: waste water treatment,20988537.00829064
Oxygen Steel Furnace Gas,0.0
P- and other fertiliser,2002728505.954743
Paddy rice,10933939.621450853
Paper and paper products,2336285652.9273043
Paper and wood waste for treatment: composting and land application,33080.793117201974
Paper for treatment: landfill,4812361.056405107
Paper waste for treatment: biogasification and land application,312275.39858081983
Paper waste for treatment: incineration,7476552.1796778515
Paraffin Waxes,23898903.29530546
Patent Fuel,4862351.775175172
Peat,557539.2372591356
Petroleum Coke,64667522.08375386
Pigs,9081019.87656575
Plant-based fibers,33811721.88745996
Plastic waste for treatment: incineration,4610028.822480514
Plastic waste for treatment: landfill,1427588.206996754
"Plastics, basic",157560177.4190404
Post and telecommunication services (64),523372378.38464683
Poultry,28417284.93376249
Precious metal ores and concentrates,47939.994341939506
Precious metals,455584507.21643496
Printed matter and recorded media (22),275542055.4288268
Private households with employed persons (95),2208854767.2354994
Processed rice,103703687.12014003
"Products of forestry, logging and related services (02)",185752367.37968725
Products of meat cattle,1121878487.771446
Products of meat pigs,369220056.92887765
Products of meat poultry,17416566.756157838
Public administration and defence services; compulsory social security services (75),631310543.001926
Pulp,370668352.38438547
"Radio, television and communication equipment and apparatus (32)",664747707.8740627
Railway transportation services,2175316674.2820086
Raw milk,0.0
Real estate services (70),1976723036.626754
"Recreational, cultural and sporting services (92)",522879805.24816525
Refinery Feedstocks,101685770.14869782
Refinery Gas,699079.3680842422
Renting services of machinery and equipment without operator and of personal and household goods (71),482121116.04489166
Research and development services (73),109914216.5874824
"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",817733382.7081618
Retail trade services of motor fuel,56454371.33764571
Rubber and plastic products (25),10172790226.097872
"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",349000822.4475485
Sand and clay,183060758.12381023
Sea and coastal water transportation services,8903316748.754368
"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",0.0
"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",0.0
"Secondary copper for treatment, Re-processing of secondary copper into new copper",0.0
"Secondary glass for treatment, Re-processing of secondary glass into new glass",0.0
"Secondary lead for treatment, Re-processing of secondary lead into new lead",0.0
"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",0.0
"Secondary paper for treatment, Re-processing of secondary paper into new pulp",0.0
"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",0.0
"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",0.0
Secondary raw materials,0.0
"Secondary steel for treatment, Re-processing of secondary steel into new steel",0.0
Services auxiliary to financial intermediation (67),521008259.7477799
Sewage sludge for treatment: biogasification and land application,5576055.701402948
Steam and hot water supply services,0.0
Stone,81106989.41045548
Sub-Bituminous Coal,44273671.784451045
Sugar,108304787.56209795
"Sugar cane, sugar beet",459167.7034132357
Supporting and auxiliary transport services; travel agency services (63),2352479078.8087997
Textiles (17),3571101425.656728
Textiles waste for treatment: incineration,3358111.0735510113
Textiles waste for treatment: landfill,1364640.0032078964
Tobacco products (16),1153524.3354055176
Transmission services of electricity,0.0
Transportation services via pipelines,2254931699.613442
Uranium and thorium ores (12),0.0
"Vegetables, fruit, nuts",457506184.8822196
Wearing apparel; furs (18),1457416531.854397
Wheat,100998948.31868175
White Spirit & SBP,9478053.971701466
"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",1694447797.7466333
Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),3332615403.544974
"Wood material for treatment, Re-processing of secondary wood material into new wood material",0.0
Wood waste for treatment: incineration,3232932.9508219687
Wood waste for treatment: landfill,1726797.738328415
"Wool, silk-worm cocoons",2074952.405060617
products of Vegetable oils and fats,884171826.451497
