sector,climate change: total (excl. biogenic CO2)
Additives/Blending Components,2648110422.1227803
Air transport services (62),61547151424.29195
Aluminium and aluminium products,53250375787.16464
Aluminium ores and concentrates,155764831.63642278
Animal products nec,1350934712.082966
Anthracite,215599241.931675
"Ash for treatment, Re-processing of ash into clinker",0.0
Aviation Gasoline,503970374.9438465
BKB/Peat Briquettes,1633430179.0253243
Basic iron and steel and of ferro-alloys and first products thereof,207356082425.22293
Beverages,34201637064.85165
Biodiesels,9650167262.771294
Biogas,1411411414.1827059
Biogasoline,1071236066.2846609
Bitumen,2177507850.715034
Blast Furnace Gas,1392723554.9263463
"Bottles for treatment, Recycling of bottles by direct reuse",0.0
"Bricks, tiles and construction products, in baked clay",11887214188.750889
Cattle,98454715603.67943
"Cement, lime and plaster",144854202187.77713
Ceramic goods,16219686514.044376
Cereal grains nec,53208497657.23756
Charcoal,24731597.238339096
"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",2705116299.799725
Chemicals nec,72473493330.44133
Coal Tar,962995165.656177
Coke Oven Coke,15838746634.914299
Coke oven gas,386463331.51362693
Coking Coal,793962519.0868056
"Collected and purified water, distribution services of water (41)",7360605316.455395
Computer and related services (72),46218325084.68638
Construction work (45),214626387351.1825
Copper ores and concentrates,4822234857.637778
Copper products,34589267069.08094
Crops nec,8725171150.692604
"Crude petroleum and services related to crude oil extraction, excluding surveying",22653997310.17446
Dairy products,89921289278.5144
Distribution and trade services of electricity,51586267584.88964
Distribution services of gaseous fuels through mains,54653603321.015625
Education services (80),5705993913.043733
Electrical machinery and apparatus n.e.c. (31),14377807445.304403
Electricity by Geothermal,64238112.9752026
Electricity by biomass and waste,8322180845.371519
Electricity by coal,287449592585.8871
Electricity by gas,139253193952.8813
Electricity by hydro,3272894448.8709354
Electricity by nuclear,6130353401.942343
Electricity by petroleum and other oil derivatives,28656091019.50427
Electricity by solar photovoltaic,1256735813.5799286
Electricity by solar thermal,27993760.334060606
"Electricity by tide, wave, ocean",5493588.730725599
Electricity by wind,3483859943.3206735
Electricity nec,252566676.5970399
Ethane,1561634.3654425861
Extra-territorial organizations and bodies,0.0
"Fabricated metal products, except machinery and equipment (28)",149097743607.87415
"Financial intermediation services, except insurance and pension funding services (65)",40811236312.596985
Fish and other fishing products; services incidental of fishing (05),5364647813.66124
Fish products,13177729188.94389
Food products nec,83934190370.7347
Food waste for treatment: biogasification and land application,721179580.5386024
Food waste for treatment: composting and land application,6523108671.250325
Food waste for treatment: incineration,3149884387.2965183
Food waste for treatment: landfill,8608383772.95961
Food waste for treatment: waste water treatment,8653281244.567947
Foundry work services,34451123093.75622
Furniture; other manufactured goods n.e.c. (36),25715919876.064705
Gas Coke,0.0
Gas Works Gas,429968225.4396793
Gas/Diesel Oil,81298919017.8115
Gasoline Type Jet Fuel,0.0
Glass and glass products,25793008081.52857
Health and social work services (85),12125459980.178019
Heavy Fuel Oil,20882184033.408028
Hotel and restaurant services (55),67454519043.333786
Inert/metal/hazardous waste for treatment: landfill,4851856624.206557
Inland water transportation services,5015746231.900162
"Insurance and pension funding services, except compulsory social security services (66)",8003570759.404245
Intert/metal waste for treatment: incineration,6937414599.167557
Iron ores,579945182.0230523
Kerosene,6130870527.566308
Kerosene Type Jet Fuel,43866904514.20107
"Lead, zinc and tin and products thereof",10955025362.660723
"Lead, zinc and tin ores and concentrates",1190698678.921537
Leather and leather products (19),9152369460.272596
Lignite/Brown Coal,4392631833.516871
Liquefied Petroleum Gases (LPG),6413842926.685945
Lubricants,4599822549.0969925
Machinery and equipment n.e.c. (29),96157117914.32545
Manure (biogas treatment),0.0
Manure (conventional treatment),0.0
Meat animals nec,7475897813.460465
Meat products nec,2706585424.645256
"Medical, precision and optical instruments, watches and clocks (33)",4578457013.787205
Membership organisation services n.e.c. (91),3492182182.779498
Motor Gasoline,32041081846.675278
"Motor vehicles, trailers and semi-trailers (34)",95257746589.70537
N-fertiliser,3693202255.457376
Naphtha,10526531934.674606
Natural Gas Liquids,326677833.88164425
"Natural gas and services related to natural gas extraction, excluding surveying",11513143229.329573
Nickel ores and concentrates,756617361.6894896
Non-specified Petroleum Products,1436491254.313248
Nuclear fuel,1287196237.2238207
Office machinery and computers (30),57520128924.10447
Oil seeds,19299417391.274082
Oil/hazardous waste for treatment: incineration,3801182346.663248
Other Bituminous Coal,10621228068.128983
Other Hydrocarbons,346158044.58394706
Other Liquid Biofuels,561448685.0305021
Other business services (74),260660092477.08932
Other land transportation services,117168428042.5358
Other non-ferrous metal ores and concentrates,1222068138.058507
Other non-ferrous metal products,10887649725.761993
Other non-metallic mineral products,19580641906.21341
Other services (93),4246779825.476029
Other transport equipment (35),26397085339.16189
Other waste for treatment: waste water treatment,12926498378.955168
Oxygen Steel Furnace Gas,50915729.75736719
P- and other fertiliser,14407908565.94873
Paddy rice,3142648023.170752
Paper and paper products,42154278775.50995
Paper and wood waste for treatment: composting and land application,31073231.76124191
Paper for treatment: landfill,2766195173.0211296
Paper waste for treatment: biogasification and land application,172594830.507792
Paper waste for treatment: incineration,3409116216.47069
Paraffin Waxes,297514576.86434966
Patent Fuel,2619941.621504197
Peat,99797709.26075557
Petroleum Coke,478997768.45579106
Pigs,33381670292.368633
Plant-based fibers,612852226.2354579
Plastic waste for treatment: incineration,2901567901.7160645
Plastic waste for treatment: landfill,664973071.7869266
"Plastics, basic",95940531285.93036
Post and telecommunication services (64),29979114913.19771
Poultry,11532529947.364464
Precious metal ores and concentrates,751196492.5766871
Precious metals,15572109935.441858
Printed matter and recorded media (22),16909854375.531738
Private households with employed persons (95),7511533245.1260195
Processed rice,1252190099.558812
"Products of forestry, logging and related services (02)",18792539229.971558
Products of meat cattle,25451283533.613613
Products of meat pigs,17675194419.56384
Products of meat poultry,2891714095.033262
Public administration and defence services; compulsory social security services (75),10842924911.65767
Pulp,21035876114.30767
"Radio, television and communication equipment and apparatus (32)",5332200140.445471
Railway transportation services,33009869234.594246
Raw milk,166066031574.28967
Real estate services (70),53632674227.17851
"Recreational, cultural and sporting services (92)",20649949117.79617
Refinery Feedstocks,3791115215.571368
Refinery Gas,708985213.1802073
Renting services of machinery and equipment without operator and of personal and household goods (71),46080148899.32951
Research and development services (73),11913308178.412848
