sector,climate change: total (excl. biogenic CO2)
Additives/Blending Components,0.00041375710791289943
Air transport services (62),10591606639.642776
Aluminium and aluminium products,3111617.304288238
Aluminium ores and concentrates,175819.45178065632
Animal products nec,276209943.97701126
Anthracite,77833233.65853663
"Ash for treatment, Re-processing of ash into clinker",0.0
Aviation Gasoline,0.000991128365752644
BKB/Peat Briquettes,979159.9641110244
Basic iron and steel and of ferro-alloys and first products thereof,12092.279433146272
Beverages,1262925580.5136228
Biodiesels,5054971.368370853
Biogas,0.0
Biogasoline,21277970.066864423
Bitumen,12761012.889665695
Blast Furnace Gas,0.0
"Bottles for treatment, Recycling of bottles by direct reuse",0.0
"Bricks, tiles and construction products, in baked clay",527954.6981025435
Cattle,17016516.950666454
"Cement, lime and plaster",33249008.15738998
Ceramic goods,1047610976.9420292
Cereal grains nec,19688034.398869622
Charcoal,69667906.065001
"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",5518241.470999041
Chemicals nec,4599851729.659626
Coal Tar,0.0
Coke Oven Coke,102703.37191419739
Coke oven gas,0.0
Coking Coal,0.0
"Collected and purified water, distribution services of water (41)",0.0
Computer and related services (72),1641899803.5723214
Construction work (45),2867378760.8238087
Copper ores and concentrates,0.027586232306202496
Copper products,0.0016685513488473164
Crops nec,157372033.23128882
"Crude petroleum and services related to crude oil extraction, excluding surveying",1658230.258909671
Dairy products,2320593835.3268986
Distribution and trade services of electricity,0.0
Distribution services of gaseous fuels through mains,0.0
Education services (80),392000499.53233325
Electrical machinery and apparatus n.e.c. (31),2242991349.9213343
Electricity by Geothermal,0.0
Electricity by biomass and waste,122283690.10191905
Electricity by coal,1187538229.897557
Electricity by gas,2650600858.7978063
Electricity by hydro,33050074.64686848
Electricity by nuclear,83574458.66872755
Electricity by petroleum and other oil derivatives,170462422.94633126
Electricity by solar photovoltaic,15927077.988232782
Electricity by solar thermal,0.0
"Electricity by tide, wave, ocean",15977.762498837455
Electricity by wind,42857507.38000366
Electricity nec,697496.7734461369
Ethane,0.0
Extra-territorial organizations and bodies,0.0
"Fabricated metal products, except machinery and equipment (28)",1847784775.505561
"Financial intermediation services, except insurance and pension funding services (65)",83521381.36846785
Fish and other fishing products; services incidental of fishing (05),2180453357.791202
Fish products,1202138978.740841
Food products nec,11604445515.597275
Food waste for treatment: biogasification and land application,150934.4090621842
Food waste for treatment: composting and land application,1216811.367676262
Food waste for treatment: incineration,894343.0874243871
Food waste for treatment: landfill,1550750.0852564662
Food waste for treatment: waste water treatment,844914.0253390123
Foundry work services,0.0
Furniture; other manufactured goods n.e.c. (36),8225316145.112898
Gas Coke,0.0
Gas Works Gas,0.0
Gas/Diesel Oil,5035955316.17742
Gasoline Type Jet Fuel,0.0
Glass and glass products,0.0005759362368812869
Health and social work services (85),641909834.4859523
Heavy Fuel Oil,2616393737.6354613
Hotel and restaurant services (55),9190675591.29455
Inert/metal/hazardous waste for treatment: landfill,932628.7419699638
Inland water transportation services,102998649.25208542
"Insurance and pension funding services, except compulsory social security services (66)",174457908.77759603
Intert/metal waste for treatment: incineration,1567511.3569290072
Iron ores,0.1057688341923231
Kerosene,0.0
Kerosene Type Jet Fuel,0.0009880447603404327
"Lead, zinc and tin and products thereof",0.0013157977859015258
"Lead, zinc and tin ores and concentrates",1319823.9859970536
Leather and leather products (19),5608837201.57185
Lignite/Brown Coal,1618965.799640078
Liquefied Petroleum Gases (LPG),1348567332.52832
Lubricants,0.0010921876177023154
Machinery and equipment n.e.c. (29),4388190270.113512
Manure (biogas treatment),0.0
Manure (conventional treatment),0.0
Meat animals nec,751278348.9826798
Meat products nec,1026490163.2230183
"Medical, precision and optical instruments, watches and clocks (33)",508790563.94824255
Membership organisation services n.e.c. (91),45121190.95762251
Motor Gasoline,4697101160.470041
"Motor vehicles, trailers and semi-trailers (34)",22831374801.88581
N-fertiliser,1219777.9063826983
Naphtha,10722076.247099688
Natural Gas Liquids,0.0
"Natural gas and services related to natural gas extraction, excluding surveying",4244780618.9335546
Nickel ores and concentrates,0.0
Non-specified Petroleum Products,9592191.537655564
Nuclear fuel,105389227.13481206
Office machinery and computers (30),1833251526.2183745
Oil seeds,619070870.2254124
Oil/hazardous waste for treatment: incineration,698446.5986915275
Other Bituminous Coal,1595574953.9745612
Other Hydrocarbons,340219.44491428684
Other Liquid Biofuels,0.0
Other business services (74),1127961610.2365248
Other land transportation services,2152774546.0873
Other non-ferrous metal ores and concentrates,517.7218020187572
Other non-ferrous metal products,7028988.215233408
Other non-metallic mineral products,763796108.6366239
Other services (93),72205188.13522218
Other transport equipment (35),4283443250.510743
Other waste for treatment: waste water treatment,1739437.7615809976
Oxygen Steel Furnace Gas,0.0
P- and other fertiliser,233395361.56274116
Paddy rice,27572107.874685608
Paper and paper products,1887984914.9422865
Paper and wood waste for treatment: composting and land application,332.53678726656955
Paper for treatment: landfill,563053.2742376497
Paper waste for treatment: biogasification and land application,25166.387372588928
Paper waste for treatment: incineration,865809.1722391201
Paraffin Waxes,19621838.692845087
Patent Fuel,10531704.477076534
Peat,4994.919013041639
Petroleum Coke,0.0
Pigs,2261399.496483422
Plant-based fibers,47428598.91463909
Plastic waste for treatment: incineration,629583.38313513
Plastic waste for treatment: landfill,182914.69102992243
"Plastics, basic",3541797275.5390215
Post and telecommunication services (64),392146096.2382849
Poultry,74176287.39712322
Precious metal ores and concentrates,0.7127244514535431
Precious metals,993190.375832101
Printed matter and recorded media (22),198351823.90663084
Private households with employed persons (95),1189547280.0851421
Processed rice,105439907.9675415
"Products of forestry, logging and related services (02)",44006677.34221437
Products of meat cattle,1358233402.879324
Products of meat pigs,227838464.29476103
Products of meat poultry,922437874.2244753
Public administration and defence services; compulsory social security services (75),907159162.9245138
Pulp,18608042.665311527
"Radio, television and communication equipment and apparatus (32)",4.94825535048256e-05
Railway transportation services,73300640.58893113
Raw milk,0.0
Real estate services (70),1110149848.050681
"Recreational, cultural and sporting services (92)",227297933.86066985
Refinery Feedstocks,0.0
Refinery Gas,0.0
Renting services of machinery and equipment without operator and of personal and household goods (71),9391561.715092134
Research and development services (73),223440727.51064375
"Retail  trade services, except of motor vehicles and motorcycles; repair services of personal and household goods (52)",990424703.70952
Retail trade services of motor fuel,7503552.25001768
Rubber and plastic products (25),4105224433.664554
"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",311704238.3323457
Sand and clay,30875267.43404945
Sea and coastal water transportation services,21951982622.317726
"Secondary aluminium for treatment, Re-processing of secondary aluminium into new aluminium",0.0
"Secondary construction material for treatment, Re-processing of secondary construction material into aggregates",0.0
"Secondary copper for treatment, Re-processing of secondary copper into new copper",0.0
"Secondary glass for treatment, Re-processing of secondary glass into new glass",0.0
"Secondary lead for treatment, Re-processing of secondary lead into new lead",0.0
"Secondary other non-ferrous metals for treatment, Re-processing of secondary other non-ferrous metals into new other non-ferrous metals",0.0
"Secondary paper for treatment, Re-processing of secondary paper into new pulp",0.0
"Secondary plastic for treatment, Re-processing of secondary plastic into new plastic",0.0
"Secondary preciuos metals for treatment, Re-processing of secondary preciuos metals into new preciuos metals",0.0
Secondary raw materials,0.0
"Secondary steel for treatment, Re-processing of secondary steel into new steel",0.0
Services auxiliary to financial intermediation (67),1502974.633489936
Sewage sludge for treatment: biogasification and land application,1022126.8990153038
Steam and hot water supply services,0.0
Stone,1449612.7527593947
Sub-Bituminous Coal,121562.69048274624
Sugar,63819526.867415205
"Sugar cane, sugar beet",0.0026975293883305263
Supporting and auxiliary transport services; travel agency services (63),66992201.470708355
Textiles (17),3304991844.8762884
Textiles waste for treatment: incineration,254838.56593777868
Textiles waste for treatment: landfill,88156.42106165052
Tobacco products (16),309126922.95882475
Transmission services of electricity,0.0
Transportation services via pipelines,0.0
Uranium and thorium ores (12),0.0
"Vegetables, fruit, nuts",5103514823.889596
Wearing apparel; furs (18),6512521070.118611
Wheat,121924333.9304269
White Spirit & SBP,1063073.2824552867
"Wholesale trade and commission trade services, except of motor vehicles and motorcycles (51)",0.000866950948986016
Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),601711724.8594848
"Wood material for treatment, Re-processing of secondary wood material into new wood material",0.0
Wood waste for treatment: incineration,558875.5439156181
Wood waste for treatment: landfill,153696.88185754037
"Wool, silk-worm cocoons",0.07313180985742915
products of Vegetable oils and fats,78681647.50429817
