Member,HS_Code,Label_EN,Explanatory_EN
http://data.europa.eu/xsp/cn2024/020680000080,0206.80,"0206 80 - Other, fresh or chilled","Fresh or chilled edible offal of sheep, goats, horses, asses, mules and hinnies"
http://data.europa.eu/xsp/cn2024/020690000080,0206.90,"0206 90 - Other, frozen","Frozen edible offal of sheep, goats, horses, asses, mules and hinnies"
http://data.europa.eu/xsp/cn2024/020711000080,0207.11,"0207 11 -- Not cut in pieces, fresh or chilled","Fresh or chilled fowls of the species Gallus domesticus, not cut in pieces"
http://data.europa.eu/xsp/cn2024/020712000080,0207.12,"0207 12 -- Not cut in pieces, frozen","Frozen fowls of the species Gallus domesticus, not cut in pieces"
http://data.europa.eu/xsp/cn2024/020713000080,0207.13,"0207 13 -- Cuts and offal, fresh or chilled",Fresh or chilled cuts and edible offal of fowls of the species Gallus domesticus
http://data.europa.eu/xsp/cn2024/020714000080,0207.14,"0207 14 -- Cuts and offal, frozen",Frozen cuts and edible offal of fowls of the species Gallus domesticus
http://data.europa.eu/xsp/cn2024/020724000080,0207.24,"0207 24 -- Not cut in pieces, fresh or chilled","Fresh or chilled turkeys of the species domesticus, not cut in pieces"
http://data.europa.eu/xsp/cn2024/020725000080,0207.25,"0207 25 -- Not cut in pieces, frozen","Frozen turkeys of the species domesticus, not cut into pieces"
http://data.europa.eu/xsp/cn2024/020726000080,0207.26,"0207 26 -- Cuts and offal, fresh or chilled",Fresh or chilled cuts and edible offal of turkeys of the species domesticus
http://data.europa.eu/xsp/cn2024/020727000080,0207.27,"0207 27 -- Cuts and offal, frozen",Frozen cuts and edible offal of turkeys of the species domesticus
http://data.europa.eu/xsp/cn2024/020741000080,0207.41,"0207 41 -- Not cut in pieces, fresh or chilled","Fresh or chilled domestic ducks, not cut in pieces"
http://data.europa.eu/xsp/cn2024/020742000080,0207.42,"0207 42 -- Not cut in pieces, frozen","Frozen domestic ducks, not cut in pieces"
http://data.europa.eu/xsp/cn2024/020743000080,0207.43,"0207 43 00 -- Fatty livers, fresh or chilled","Fatty livers of domestic ducks, fresh or chilled"
http://data.europa.eu/xsp/cn2024/020744000080,0207.44,"0207 44 -- Other, fresh or chilled",Fresh or chilled cuts and edible offal of domestic ducks (excl. fatty livers)
http://data.europa.eu/xsp/cn2024/020745000080,0207.45,"0207 45 -- Other, frozen",Frozen cuts and edible offal of domestic ducks
http://data.europa.eu/xsp/cn2024/020751000080,0207.51,"0207 51 -- Not cut in pieces, fresh or chilled","Fresh or chilled domestic geese, not cut in pieces"
http://data.europa.eu/xsp/cn2024/020752000080,0207.52,"0207 52 -- Not cut in pieces, frozen","Frozen domestic geese, not cut in pieces"
http://data.europa.eu/xsp/cn2024/020753000080,0207.53,"0207 53 00 -- Fatty livers, fresh or chilled","Fatty livers of domestic geese, fresh or chilled"
http://data.europa.eu/xsp/cn2024/020754000080,0207.54,"0207 54 -- Other, fresh or chilled",Fresh or chilled cuts and edible offal of domestic geese (excl. fatty livers)
http://data.europa.eu/xsp/cn2024/020755000080,0207.55,"0207 55 -- Other, frozen",Frozen cuts and edible offal of domestic geese
http://data.europa.eu/xsp/cn2024/020760000080,0207.60,0207 60 - Of guinea fowls,"Meat and edible offal of domestic guinea fowls, fresh, chilled or frozen"
http://data.europa.eu/xsp/cn2024/020810000080,0208.10,0208 10 - Of rabbits or hares,"Fresh, chilled or frozen meat and edible offal of rabbits or hares"
http://data.europa.eu/xsp/cn2024/020830000080,0208.30,0208 30 00 - Of primates,"Fresh, chilled or frozen meat and edible offal of primates"
http://data.europa.eu/xsp/cn2024/020840000080,0208.40,"0208 40 - Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia)","Fresh, chilled or frozen meat and edible offal of whales, dolphins and porpoises (mammals of the order Cetacea), of manatees and dugongs (mammals of the order Sirenia) and of seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
http://data.europa.eu/xsp/cn2024/020850000080,0208.50,0208 50 00 - Of reptiles (including snakes and turtles),"Fresh, chilled or frozen meat and edible offal of reptiles ""e.g. snakes, turtles, crocodiles"""
http://data.europa.eu/xsp/cn2024/020860000080,0208.60,0208 60 00 - Of camels and other camelids (Camelidae),"Fresh, chilled or frozen meat and edible offal of camels and other camelids [Camelidae]"
http://data.europa.eu/xsp/cn2024/020890000080,0208.90,0208 90 - Other,"Fresh, chilled or frozen meat and edible offal of pigeons, game, reindeer and other animals (excl. bovine animals, swine, sheep, goats, horses, asses, mules, hinnies, poultry ""fowls of the species Gallus domesticus, ducks, geese, turkeys, guinea fowl"", rabbits, hares, primates, whales, dolphins and porpoises ""mammals of the order Cetacea"", manatees and dugongs ""mammals of the order Sirenia"", seals, sea lions and walruses ""mammals of the suborder Pinnipedia"", reptiles and insects)"
http://data.europa.eu/xsp/cn2024/020910000080,0209.10,0209 10 - Of pigs,"Pig fat, free of lean meat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked"
http://data.europa.eu/xsp/cn2024/020990000080,0209.90,0209 90 00 - Other,"Poultry fat, not rendered or otherwise extracted, fresh, chilled, frozen, salted, in brine, dried or smoked"
http://data.europa.eu/xsp/cn2024/021011000080,0210.11,"0210 11 -- Hams, shoulders and cuts thereof, with bone in","Hams, shoulders and cuts thereof of swine, salted, in brine, dried or smoked, with bone in"
http://data.europa.eu/xsp/cn2024/021012000080,0210.12,0210 12 -- Bellies (streaky) and cuts thereof,"Bellies ""streaky"" and cuts thereof of swine, salted, in brine, dried or smoked"
http://data.europa.eu/xsp/cn2024/021019000080,0210.19,0210 19 -- Other,"Meat of swine, salted, in brine, dried or smoked (excl. hams, shoulders and cuts thereof, with bone in, and bellies and cuts thereof)"
http://data.europa.eu/xsp/cn2024/021020000080,0210.20,0210 20 - Meat of bovine animals,"Meat of bovine animals, salted, in brine, dried or smoked"
http://data.europa.eu/xsp/cn2024/021091000080,0210.91,0210 91 00 -- Of primates,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat and meat offal, of primates"
http://data.europa.eu/xsp/cn2024/021092000080,0210.92,"0210 92 -- Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses (mammals of the suborder Pinnipedia)","Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, of whales, dolphins and porpoises (mammals of the order Cetacea), manatees and dugongs (mammals of the order Sirenia) and seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
http://data.europa.eu/xsp/cn2024/021093000080,0210.93,0210 93 00 -- Of reptiles (including snakes and turtles),"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat and meat offal, of reptiles ""e.g. snakes, turtles, alligators"""
http://data.europa.eu/xsp/cn2024/021099000080,0210.99,0210 99 -- Other,"Meat and edible offal, salted, in brine, dried or smoked, and edible flours and meals of meat and meat offal (excl. meat of bovine animals and swine and meat and edible offal of primates, whales, dolphins and porpoises ""mammals of the order Cetacea"", manatees and dugongs ""mammals of the order Sirenia"", seals, sea lions and walruses ""mammals of the suborder Pinnipedia"", reptiles and insects)"
http://data.europa.eu/xsp/cn2024/030111000080,0301.11,0301 11 00 -- Freshwater fish,Live ornamental freshwater fish
http://data.europa.eu/xsp/cn2024/030119000080,0301.19,0301 19 00 -- Other,Live ornamental fish (excl. freshwater)
http://data.europa.eu/xsp/cn2024/030191000080,0301.91,"0301 91 -- Trout (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster)","Live trout ""Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache and Oncorhynchus chrysogaster"""
http://data.europa.eu/xsp/cn2024/030192000080,0301.92,0301 92 -- Eels (Anguilla spp.),"Live eels ""Anguilla spp."""
http://data.europa.eu/xsp/cn2024/030193000080,0301.93,"0301 93 00 -- Carp (Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp.)","Live carp ""Cyprinus spp., Carassius spp., Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus, Catla catla, Labeo spp., Osteochilus hasselti, Leptobarbus hoeveni, Megalobrama spp."""
http://data.europa.eu/xsp/cn2024/030194000080,0301.94,"0301 94 -- Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)","Live Atlantic and Pacific bluefin tuna (Thunnus thynnus, Thunnus orientalis)"
